dcNorm,icNorm,ecNorm,scNorm,bcNorm,ccNorm,NCNorm,PecNorm,IonNorm,P&Enorm,Vacuole,Vesicles,Lysosome,Membrane,Mitochondrion,Peroxisome,Secretory pathway,Cell wall,Cytoskeleton,Endoplasmic reticulum,Golgi,Transmembrane,Cytoplasm,Nucleus,Endosome,Extracellular,essential0,essential1
0.017857143,0.691764327,0.014194703,0.00020149,0.002657039,0.982432659,0,0.000491433,0.076252395,0.000813551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.064285714,0.891122987,0.047423981,0.002249034,0.007492401,0.983527466,0.040760037,0.037873572,0.927123196,0.070042276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.064285714,0.890772333,0.139609371,0.019490778,0.006403089,0.98723833,0.038308305,-0.000435441,0.851121915,0.004401823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.007142857,0.385525125,0.002447615,5.99E-06,0.000543361,0.967630923,0,-0.000686026,0.473854171,-0.000454277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.042857143,0.842830234,0.074510429,0.005551804,0.003148705,0.988150669,0.057922158,0.026613661,0.342601684,0.068896853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.103571429,0.926861301,0.066964067,0.004484186,0.025658997,0.987733767,0.078455409,-0.028109936,0.464728779,0.014943842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.010714286,0.554739406,0.002035848,4.15E-06,0.000283794,0.971349833,0.030646644,-0.001275353,0.834196816,0.015379057,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
0.067857143,0.882170539,0.030795211,0.000948345,0.006729113,0.979464663,0.373276126,0.022042689,0.509568898,0.209265103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.007142857,0.468656639,0.00529721,2.81E-05,0.000329801,0.970794413,0,0.004281523,0,0.002835168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.053571429,0.864657848,0.02530034,0.000640107,0.011800666,0.98504336,0.048115231,0.007889794,0.330591966,0.033164894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.307326842,0.001914729,3.67E-06,0,0.969431877,0,-0.002578184,0.468407572,-0.000853619,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.007142857,0.46883176,0.008825518,7.79E-05,1.63E-05,0.974653035,0,0.003557078,0.245096985,0.002355448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.170520647,1.67E-05,2.78E-10,0,0.941840326,0,0.003373206,0.016339799,0.001116846,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.025,0.694986604,0.004793786,2.30E-05,0.006524654,0.974055437,0,0.04162225,0.070805796,0.033402612,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.010714286,0.545353202,0.012638997,0.000159744,0.000831843,0.97856398,0,-9.38E-05,0.092592194,-9.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.021428571,0.688404416,0.004276346,1.83E-05,0.00194124,0.973518224,0.082745939,0.028347985,0.252603405,0.057222432,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0.007142857,0.443278372,0.002361053,5.57E-06,0,0.963539478,0.061293288,0.043664653,0.047438103,0.046087202,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.007142857,0.272147764,8.95E-05,8.28E-09,0.004868652,0.950677074,0,0.003877551,0.479300771,-0.001345168,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.028571429,0.771176341,0.025069953,0.000628503,0.004660088,0.980418865,0,0.043774494,0.021786399,0.069883365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
