dc,ic,ec,sc,bc,cc,nc,ION,essential0,essential1
0.016949153,0.646481108,0.002838292,0.000267279,0.000361911,0.007496611,0.029530458,0.093108609,0,1
0.118644068,0.930187183,0.02335356,0.018094922,0.088251261,0.007517864,0.063877194,0.496058397,0,1
0.401129944,0.986480272,0.064639653,0.138627517,0.066345686,0.007521826,0.132244015,0.157583338,0,1
0.632768362,0.993290678,0.034978528,0.040593251,0.676291117,0.007537737,0.227105105,0.586684023,0,1
0.005649718,0.381632504,0.002035232,0.000137429,0,0.007489752,0,0.131313131,0,1
0.254237288,0.97153983,0.044152168,0.064677691,0.109369367,0.007529035,0.168957143,0.054031212,0,1
0.480225989,0.990204547,0.071708831,0.170607022,0.152197333,0.007528557,0.219820742,0.543153104,0,1
0.197740113,0.961171234,0.026742758,0.023728139,0.060889735,0.007525273,0.137973544,0.632724398,0,1
0.096045198,0.917634185,0.012363,0.005071081,0.001990705,0.007497497,0.016610883,0.594363067,0,1
0.073446328,0.871430205,0.010379049,0.003574092,0.032842249,0.00750375,0.009843486,0.476896704,0,1
0.028248588,0.755192621,0.004805021,0.000766025,0.000231458,0.00749216,0.029530458,0.352355336,0,1
0.096045198,0.889557206,0.006515506,0.001408472,0.066824383,0.007501644,0.004877799,0.220669341,0,1
0.02259887,0.708859785,0.00334718,0.000371714,0.002463611,0.007504081,0.009843486,0.124518371,0,1
0.384180791,0.982069157,0.084392928,0.23629934,0.231566749,0.007527642,0.127104473,0.110612321,0,1
0.011299435,0.479864223,0.001262258,5.29E-05,0,0.00748383,0.029530458,0.439954786,0,1
0.06779661,0.876465331,0.004192474,0.000583165,0.010632275,0.007500736,0.039821376,0.181605539,0,1
0.141242938,0.946569356,0.031823477,0.033600604,0.006198264,0.007513264,0.089875308,0.332372061,0,1
0.005649718,0.37599874,0.000420701,5.87E-06,0,0.00746285,0,0.383838384,0,1
0.124293785,0.934739769,0.017940074,0.010678268,0.039012496,0.007511504,0.02112834,0.200983025,0,1
0.288135593,0.977656352,0.080340744,0.214152083,0.016547759,0.007518859,0.180800265,0.03388271,0,1
0.005649718,0.376262843,0.000993263,3.27E-05,0,0.007462196,0,0,0,1
0.084745763,0.898243253,0.015859637,0.008345205,0.046956106,0.007517698,0.02742114,0.537070356,0,1
0.09039548,0.907299874,0.016442437,0.008969803,0.024334209,0.0075149,0.027561761,0.099586445,0,1
0.005649718,0.358068439,0.000211621,1.49E-06,0,0.007460358,0,0,0,1
0.152542373,0.950112105,0.029057216,0.02801302,0.007900989,0.00750807,0.061397729,0.137221389,0,1
0.079096045,0.858054437,0.003866078,0.000495897,0.051126204,0.00749591,0.004543147,0.108875916,0,1
0.04519774,0.787822379,0.00545257,0.0009864,0.023756122,0.007499746,0,0.429292929,0,1
0.096045198,0.915046804,0.010998839,0.004013694,0.018114362,0.00751316,0.023285065,0.687850657,0,1
0.214689266,0.966122354,0.046544599,0.071877109,0.028145748,0.007517574,0.15176677,0.197202301,0,1
0.02259887,0.702686647,0.001355484,6.10E-05,0.00043351,0.007483666,0,0.015151515,0,1
0.056497175,0.829538653,0.013289057,0.005859207,0.031867651,0.007508525,0.013124648,0.139834215,0,1
0.062146893,0.841004911,0.00551957,0.00101079,0.029892759,0.007501128,0.055000479,0.517008084,0,1
0.005649718,0.381032743,0.001235263,5.06E-05,0,0.007483809,0,0.04040404,0,1
0.610169492,0.993580252,0.074737221,0.185320852,0.727914595,0.007541824,0.315005666,0.113146943,0,1
0.039548023,0.706606499,0.000429612,6.12E-06,0.019237598,0.007466304,0,0.005050505,0,1
0.09039548,0.905717065,0.022165885,0.016301251,0.039900582,0.007509911,0.03543655,0.055417822,0,1
0.005649718,0.369472802,0.000284853,2.69E-06,0,0.007454972,0,0.47979798,0,1
0.028248588,0.481306351,0.001264067,5.30E-05,0.033895633,0.007484138,0.007382615,0.755222703,0,1
0.050847458,0.831918175,0.014624018,0.00709552,0.026574145,0.007500199,0.018456536,0.270025202,0,1
0.13559322,0.940430566,0.010755433,0.003838033,0.023005032,0.007507884,0.014104157,0.147080655,0,1
0.039548023,0.780373823,0.001377,6.29E-05,0.007257549,0.007492325,0.014765229,0.152194772,0,1
0.011299435,0.47450637,0.000450074,6.72E-06,0.000164867,0.007465343,0,0.045454545,0,1
0.028248588,0.689101111,0.002319104,0.00017844,0.01191047,0.00748718,0,0.01010101,0,1
0.237288136,0.969400007,0.060564184,0.121697735,0.051530238,0.007517802,0.081801668,0.084176758,0,1
0.15819209,0.948070252,0.014456625,0.006934008,0.08527808,0.007520747,0.091187612,0.653215103,0,1
0.005649718,0.380580584,0.00095161,3.00E-05,0,0.007481283,0,0.050505051,0,1
0.18079096,0.948046151,0.018151924,0.01093191,0.113719521,0.007515853,0.109299234,0.041483019,0,1
0.039548023,0.803428759,0.002362652,0.000185204,0.004801048,0.007487736,0.019686972,0.134105617,0,1
0.096045198,0.905798223,0.023458586,0.018258037,0.032039804,0.007517594,0.023993497,0.147798596,0,1
0.016949153,0.600845245,0.000988969,3.25E-05,0.001585041,0.007471113,0.014765229,0.106305984,0,1
0.305084746,0.96925175,0.008143173,0.002200083,0.370568975,0.007513409,0.063630533,0.081835184,0,1
0.005649718,0.358969872,8.27E-05,2.27E-07,0,0.0074428,0,0,0,1
0.327683616,0.981051195,0.048065708,0.076651836,0.06478539,0.007520643,0.099540922,0.539489681,0,1
0.005649718,0.375182305,0.000697063,1.61E-05,0,0.007465793,0,0.409090909,0,1
0.011299435,0.450027273,2.10E-05,1.47E-08,0.000297839,0.007427388,0,0.464646465,0,1
0.118644068,0.920178698,0.010345653,0.003551127,0.073244476,0.007510759,0.022942895,0.091690677,0,1
0.039548023,0.816154569,0.01144479,0.004345766,0.000412571,0.00750654,0.029530458,0.038288635,0,1
0.011299435,0.54055439,0.000782488,2.03E-05,0.00011142,0.007474903,0,0.025252525,0,1
0.005649718,0.380885274,0.002072618,0.000142524,0,0.007486954,0,0,0,1
0.254237288,0.971461562,0.018439981,0.011281682,0.07571696,0.007510573,0.050278032,0.666320144,0,1
0.073446328,0.8857925,0.009374775,0.002915898,0.02228356,0.007510407,0.045666744,0.268971313,0,1
0.203389831,0.964337928,0.039953772,0.052962362,0.0118563,0.007509125,0.10034339,0.385328289,0,1
0.011299435,0.539956312,0.001044637,3.62E-05,2.59E-05,0.007475477,0,0.035353535,0,1
0.288135593,0.977564219,0.078566492,0.204797756,0.064775802,0.00752546,0.217907455,0.48786206,0,1
0.011299435,0.552149316,0.004123794,0.000564215,0,0.007483789,0.029530458,0.043837796,0,1
0.384180791,0.986254609,0.107325094,0.382166821,0.063046667,0.007531885,0.317335083,0.094877881,0,1
0.011299435,0.437019157,0.000221359,1.63E-06,0.01336519,0.007457766,0,0.025252525,0,1
0.039548023,0.715187239,0.000605519,1.22E-05,0.003292229,0.007467532,0.091052246,0.001407777,0,1
0.11299435,0.931608352,0.01643173,0.008958152,0.004700265,0.007511587,0.053258441,0.642385582,0,1
0.050847458,0.831644347,0.005789539,0.001112088,0.012395263,0.007496178,0.011073922,0.115899029,0,1
0.09039548,0.90135286,0.00887074,0.002610782,0.020453033,0.007504122,0.068084112,0.442351334,0,1
0.225988701,0.955044497,0.024321755,0.019626392,0.210813595,0.007521307,0.042343474,0.139873885,0,1
0.011299435,0.527371393,0.000568938,1.07E-05,0,0.007467184,0.029530458,0.007911334,0,1
0.457627119,0.988192413,0.052190331,0.090371669,0.186820054,0.007526145,0.306160688,0.169626475,0,1
0.186440678,0.961224391,0.035399074,0.041575322,0.01380144,0.007518838,0.083840008,0.60826757,0,1
0.005649718,0.346063447,0.000116611,4.51E-07,0,0.007446582,0,0.5,0,1
0.005649718,0.379451653,0.001778904,0.000104992,0,0.00747185,0,0.368686869,0,1
0.175141243,0.939877862,0.026457912,0.023225329,0.105242921,0.007514051,0.046027694,0.163653317,0,1
0.011299435,0.543393605,0.001007565,3.37E-05,0,0.007470212,0.029530458,0.016323745,0,1
0.005649718,0.717430579,2.59E-17,2.53E-19,0,0.000366838,0,0.03030303,0,1
0.13559322,0.939794,0.017151095,0.00975965,0.022451249,0.007513823,0.140865024,0.105184041,0,1
0.011299435,0.508499309,0.001209686,4.86E-05,0,0.007473674,0.029530458,0.014504238,0,1
0.005649718,0.353041064,3.30E-05,3.62E-08,0,0.007431073,0,0.035353535,0,1
0.197740113,0.962073018,0.026331082,0.023003287,0.067805659,0.007513471,0.051105847,0.357260851,0,1
0.13559322,0.941774158,0.039159083,0.050876326,0.02108085,0.007515646,0.059962263,0.529711015,0,1
0.056497175,0.844094679,0.00368308,0.000450066,0.009268349,0.007497971,0.01640581,0.50362258,0,1
0.214689266,0.958763949,0.019534665,0.012660859,0.085841772,0.007515439,0.060120284,0.264664887,0,1
0.056497175,0.859103603,0.005519369,0.001010723,0.002592289,0.007490081,0.022352916,0.108274992,0,1
0.344632768,0.981576874,0.045706997,0.069313366,0.112298811,0.00752222,0.086957452,0.466142102,0,1
0.005649718,0.375182305,0.000697063,1.61E-05,0,0.007465793,0,0,0,1
0.463276836,0.989481489,0.069808426,0.161684109,0.143768163,0.007528078,0.174897011,0.540056642,0,1
0.028248588,0.710032105,0.000101297,3.40E-07,0.002227306,0.007453871,0.007382615,0.154115216,0,1
0.028248588,0.705318423,0.001337191,5.93E-05,0.012040653,0.007485083,0.014765229,0.114118787,0,1
0.062146893,0.864645916,0.004697365,0.000732081,0.019245381,0.007503833,0.017062043,0.016564377,0,1
0.04519774,0.804388605,0.003091136,0.00031702,0.016239176,0.007500819,0.008437274,0.411133424,0,1
0.073446328,0.878281663,0.003892546,0.000502711,0.060808518,0.007503131,0.020214302,0.605391862,0,1
0.576271186,0.993901899,0.11835081,0.464721797,0.205061017,0.00753457,0.325765186,0.474977361,0,1
